,gender,age,household_income,degree,school_degree,parking_strategy,survey_income_interval,income_group
0,2,27,3379,3,5,7,6,1
1,1,48,15491,5,2,7,7,2
2,1,10,21465,11,4,7,3,2
3,2,68,8143,5,0,3,4,2
4,1,17,16846,4,1,5,6,2
5,1,3,3697,8,2,3,4,1
6,1,94,26595,7,4,7,6,2
7,1,87,15746,3,5,4,4,2
8,1,29,4267,6,6,7,1,1
9,1,30,12553,5,2,4,2,2
10,1,75,23587,10,1,5,6,2
11,2,66,9188,9,3,7,4,2
12,2,93,1168,12,0,7,1,0
13,1,60,788,12,2,4,3,0
14,2,7,15471,2,2,5,4,2
15,2,51,7219,1,3,4,1,2
16,2,73,13328,0,6,5,2,2
17,2,87,26295,11,0,4,6,2
18,2,64,19442,4,5,4,1,2
19,1,17,7815,12,2,3,1,2
20,2,40,5607,8,2,7,2,1
21,1,21,17497,7,4,4,4,2
22,1,94,24097,4,5,5,4,2
23,2,26,6338,12,6,4,5,2
24,2,15,3865,0,5,5,2,1
25,1,17,17487,12,0,4,6,2
26,1,10,19824,11,4,3,1,2
27,1,17,1693,1,4,3,4,0
28,1,3,21286,3,1,3,2,2
29,2,73,1966,10,2,7,6,0
30,1,29,13399,6,1,4,5,2
31,2,67,26422,6,1,5,6,2
32,1,71,10561,1,0,3,6,2
33,2,80,6938,7,2,5,2,2
34,1,98,8103,1,5,7,6,2
35,1,4,13637,1,2,5,7,2
36,2,61,8218,9,3,3,4,2
37,1,90,18961,11,5,3,2,2
38,1,100,18401,0,2,7,7,2
39,2,6,4445,5,4,4,4,1
40,2,32,8616,7,1,5,4,2
41,1,81,24296,4,6,7,5,2
42,2,37,16107,4,3,4,7,2
43,1,27,23102,4,0,4,2,2
44,1,51,15840,8,5,7,7,2
45,1,78,21218,10,0,7,3,2
46,1,59,20341,7,3,4,5,2
47,1,86,12210,5,6,4,1,2
48,2,95,4600,6,2,7,4,1
49,1,8,2258,4,1,7,4,1
50,2,56,4842,9,1,4,3,1
51,1,29,18842,9,4,3,4,2
52,1,28,3443,5,2,4,7,1
53,1,95,9264,12,2,5,1,2
54,1,34,3974,6,5,5,2,1
55,2,58,4268,0,4,7,2,1
56,1,81,8038,0,3,3,3,2
57,2,92,9536,1,6,7,3,2
58,2,16,21000,1,2,3,4,2
59,1,72,10037,11,6,4,4,2
60,1,59,7148,10,2,3,3,2
61,2,7,24539,3,4,4,1,2
62,1,12,2200,0,0,7,7,0
63,2,32,2003,0,4,7,4,0
64,1,84,14372,6,3,7,4,2
65,2,75,2542,2,1,7,3,1
66,2,93,13437,3,6,4,2,2
67,2,40,25746,11,2,3,5,2
68,2,0,2731,2,0,5,1,1
69,2,84,11794,4,0,5,7,2
